0x005c6820,swig_TGEvent_IncRefCount
0x005c6890,swig_TGEvent_DecRefCount
0x005c6900,swig_TGEvent_GetRefCount
0x005c6990,swig_new_TGBoolEvent
0x005c6a10,swig_TGBoolEvent_Cast
0x005c6a80,swig_TGBoolEvent_Create
0x005c6af0,swig_TGBoolEvent_GetBool
0x005c6b70,swig_TGBoolEvent_SetBool
0x005c6c10,swig_TGBoolEvent_ToggleBool
0x005c6c80,swig_delete_TGBoolEvent
0x005c6cf0,swig_new_TGCharEvent
0x005c6d70,swig_TGCharEvent_Cast
0x005c6de0,swig_TGCharEvent_Create
0x005c6e50,swig_TGCharEvent_GetChar
0x005c6ec0,swig_TGCharEvent_SetChar
0x005c6f40,swig_delete_TGCharEvent
0x005c6fb0,swig_new_TGShortEvent
0x005c7100,swig_TGShortEvent_Cast
0x005c7170,swig_TGShortEvent_Create
0x005c71e0,swig_TGShortEvent_GetShort
0x005c7240,swig_TGShortEvent_SetShort
0x005c72c0,swig_delete_TGShortEvent
0x005c7330,swig_new_TGIntEvent
0x005c73b0,swig_TGIntEvent_Cast
0x005c7420,swig_TGIntEvent_Create
0x005c7490,swig_TGIntEvent_GetInt
0x005c74f0,swig_TGIntEvent_SetInt
0x005c7570,swig_delete_TGIntEvent
0x005c75e0,swig_new_TGFloatEvent
0x005c7660,swig_TGFloatEvent_Cast
0x005c76d0,swig_TGFloatEvent_Create
0x005c7740,swig_TGFloatEvent_GetFloat
0x005c77b0,swig_TGFloatEvent_SetFloat
0x005c7830,swig_delete_TGFloatEvent
0x005c78a0,swig_new_TGStringEvent
0x005c7920,swig_TGStringEvent_Cast
0x005c7990,swig_TGStringEvent_Create
0x005c7a00,swig_TGStringEvent_GetString
0x005c7aa0,swig_TGStringEvent_SetString
0x005c7b60,swig_delete_TGStringEvent
0x005c7bd0,swig_new_TGVoidPtrEvent
0x005c7d40,swig_TGVoidPtrEvent_Create
0x005c7db0,swig_TGVoidPtrEvent_GetVoidPtr
0x005c7e20,swig_TGVoidPtrEvent_SetVoidPtr
0x005c7ea0,swig_delete_TGVoidPtrEvent
0x005c7f10,swig_new_TGObjPtrEvent
0x005c7f90,swig_TGObjPtrEvent_Cast
0x005c8000,swig_TGObjPtrEvent_Create
0x005c8070,swig_TGObjPtrEvent_GetObjPtr
0x005c80e0,swig_TGObjPtrEvent_SetObjPtr
0x005c8190,swig_delete_TGObjPtrEvent
0x005c8200,swig_TGEventHandlerObject_Cast
0x005c8270,swig_delete_TGEventHandlerObject
0x005c82e0,swig_TGEventHandlerObject_ProcessEvent
0x005c8390,swig_TGEventHandlerObject_CallNextHandler
0x005c8440,swig_TGEventHandlerObject_AddPythonFuncHandlerForInstance
0x005c8510,swig_TGEventHandlerObject_AddPythonMethodHandlerForInstance
0x005c85e0,swig_TGEventHandlerObject_RemoveHandlerForInstance
0x005c86b0,swig_TGEventHandlerObject_RemoveAllInstanceHandlers
0x005c8730,swig_TGEventManager_AddBroadcastPythonFuncHandler
0x005c8870,swig_TGEventManager_AddBroadcastPythonMethodHandler
0x005c89b0,swig_TGEventManager_RemoveBroadcastHandler
0x005c8b00,swig_TGEventManager_RemoveAllBroadcastHandlersForObject
0x005c8bc0,swig_TGEventManager_AddEvent
0x005c8c70,swig_new_TGTimer
0x005c8cf0,swig_delete_TGTimer
0x005c8d60,swig_TGTimer_Create
0x005c8dd0,swig_TGTimer_SetTimerStart
0x005c8e50,swig_TGTimer_SetDelay
0x005c8ed0,swig_TGTimer_SetDuration
0x005c8f50,swig_TGTimer_SetEvent
0x005c8ff0,swig_TGTimer_GetTimerStart
0x005c9060,swig_TGTimer_GetDelay
0x005c90d0,swig_TGTimer_GetDuration
0x005c9140,swig_TGTimer_GetEvent
0x005c91b0,swig_TGTimer_GetTGTimerPtr
0x005c91f0,swig_TGTimerManager_AddTimer
0x005c92a0,swig_TGTimerManager_RemoveTimer
0x005c9320,swig_TGTimerManager_DeleteTimer
0x005c93a0,swig_new_TGPythonInstanceWrapper
0x005c9400,swig_TGPythonInstanceWrapper_Create
0x005c9460,swig_delete_TGPythonInstanceWrapper
0x005c94d0,swig_new_TGIEvent
0x005c9600,swig_TGIEvent_EventHandled
0x005c9680,swig_TGIEvent_SetHandled
0x005c96f0,swig_delete_TGIEvent
0x005c9760,swig_new_TGMouseEvent
0x005c98b0,swig_TGMouseEvent_Copy
0x005c9960,swig_TGMouseEvent_Create
0x005c9a40,swig_TGMouseEvent_IsButtonEvent
0x005c9ac0,swig_TGMouseEvent_GetButtonNum
0x005c9b30,swig_TGMouseEvent_GetFlags
0x005c9ba0,swig_TGMouseEvent_SetFlags
0x005c9c20,swig_TGMouseEvent_GetX
0x005c9c90,swig_TGMouseEvent_GetY
0x005c9d00,swig_delete_TGMouseEvent
0x005c9d70,swig_TGKeyboardEvent_Create
0x005c9ef0,swig_new_TGKeyboardEvent
0x005c9f80,swig_TGKeyboardEvent_Copy
0x005ca030,swig_TGKeyboardEvent_GetUnicode
0x005ca090,swig_TGKeyboardEvent_SetUnicode
0x005ca110,swig_TGKeyboardEvent_GetKeyData
0x005ca170,swig_TGKeyboardEvent_SetKeyData
0x005ca1f0,swig_TGKeyboardEvent_GetKeyState
0x005ca250,swig_TGKeyboardEvent_SetKeyState
0x005ca2d0,swig_delete_TGKeyboardEvent
0x005ca340,swig_new_TGGamepadEvent
0x005ca490,swig_TGGamepadEvent_Copy
0x005ca540,swig_TGGamepadEvent_GetInfo
0x005ca650,swig_TGGamepadEvent_SetInfo
0x005ca6f0,swig_delete_TGGamepadEvent
0x005ca760,swig_TGInputManager_Poll
0x005ca7d0,swig_TGInputManager_UpdateDevices
0x005ca840,swig_TGInputManager_KeyEvent
0x005ca8e0,swig_TGInputManager_MouseEvent
0x005ca980,swig_TGInputManager_GetMousePos
0x005caa20,swig_TGInputManager_GetMouseDelta
0x005caac0,swig_TGInputManager_SetMousePosition
0x005cab70,swig_TGInputManager_GetMouseDeltaX
0x005cabd0,swig_TGInputManager_GetMouseDeltaY
0x005cac30,swig_TGInputManager_GetMouseX
0x005cac90,swig_TGInputManager_GetMouseY
0x005cacf0,swig_TGInputManager_GetCenterMouse
0x005cad70,swig_TGInputManager_SetCenterMouse
0x005cadf0,swig_TGInputManager_GamepadEvent
0x005cae90,swig_TGInputManager_RegisterUnicodeKey
0x005cafa0,swig_TGInputManager_RegisterDeadKey
0x005cb030,swig_TGInputManager_GetUnicodeKey
0x005cb0c0,swig_TGInputManager_GetScanCode
0x005cb130,swig_TGInputManager_SetCurrentUnicodeKeyList
0x005cb1a0,swig_TGInputManager_SetDisplayStringForUnicode
0x005cb360,swig_TGInputManager_GetDisplayStringFromUnicode
0x005cb400,swig_TGInputManager_SetKeyboardInputEnabled
0x005cb490,swig_TGInputManager_MoveMouseCursorTo
0x005cb530,swig_TGInputManager_PauseMouseCursorMoveTo
0x005cb5a0,swig_TGInputManager_ResumeMouseCursorMoveTo
0x005cb610,swig_TGUIModule_PixelAlignRect
0x005cb850,swig_TGUIModule_PixelAlignPoint
0x005cb980,swig_TGUIModule_PixelAlignValue
0x005cba80,swig_new_TGRect
0x005cbb10,swig_delete_TGRect
0x005cbb90,swig_TGRect_Set
0x005cbc30,swig_TGRect_GetLeft
0x005cbc90,swig_TGRect_GetTop
0x005cbd00,swig_TGRect_GetWidth
0x005cbd70,swig_TGRect_GetHeight
0x005cbde0,swig_TGRect_GetRight
0x005cbe50,swig_TGRect_GetBottom
0x005cbec0,swig_TGRect_GetPosition
0x005cbf70,swig_TGRect_SetLeft
0x005cbff0,swig_TGRect_SetTop
0x005cc070,swig_TGRect_SetWidth
0x005cc0f0,swig_TGRect_SetHeight
0x005cc170,swig_TGRect_SetRight
0x005cc1f0,swig_TGRect_SetBottom
0x005cc270,swig_TGRect_SetPosition
0x005cc320,swig_TGRect_IsEmpty
0x005cc3c0,swig_TGRect_IsClear
0x005cc480,swig_TGRect_DoesIntersect
0x005cc530,swig_TGRect_IsWithin
0x005cc5c0,swig_TGRect_ClipTo
0x005cc660,swig_TGRect_Clear
0x005cc6d0,swig_delete_TGUIObject
0x005cc740,swig_TGUIObject_GetParent
0x005cc7b0,swig_TGUIObject_SetParent
0x005cc870,swig_TGUIObject_GetConceptualParent
0x005cc8e0,swig_TGUIObject_GetBounds
0x005cc990,swig_TGUIObject_SetBounds
0x005cca50,swig_TGUIObject_GetLeft
0x005ccac0,swig_TGUIObject_GetTop
0x005ccb30,swig_TGUIObject_GetRight
0x005ccba0,swig_TGUIObject_GetBottom
0x005ccc10,swig_TGUIObject_GetWidth
0x005ccc80,swig_TGUIObject_GetHeight
0x005cccf0,swig_TGUIObject_IsWithin
0x005ccde0,swig_TGUIObject_GetPosition
0x005cce90,swig_TGUIObject_SetPosition
0x005ccf30,swig_TGUIObject_GetFlags
0x005ccf90,swig_TGUIObject_GetScreenOffset
0x005cd030,swig_TGUIObject_GetClipRect
0x005cd0d0,swig_TGUIObject_GetCommonAncestor
0x005cd170,swig_TGUIObject_Move
0x005cd210,swig_TGUIObject_Resize
0x005cd2b0,swig_TGUIObject_AlignTo
0x005cd380,swig_TGUIObject_GetFocusLeaf
0x005cd3f0,swig_TGUIObject_GotFocus
0x005cd480,swig_TGUIObject_GotTrueFocus
0x005cd510,swig_TGUIObject_GotTrueFocusPath
0x005cd5a0,swig_TGUIObject_LostFocus
0x005cd630,swig_TGUIObject_LostTrueFocus
0x005cd6c0,swig_TGUIObject_LostTrueFocusPath
0x005cd750,swig_TGUIObject_HasFocus
0x005cd7d0,swig_TGUIObject_HasTrueFocus
0x005cd850,swig_TGUIObject_HasAncestor
0x005cd900,swig_TGUIObject_IsInTrueFocusPath
0x005cd980,swig_TGUIObject_FocusHeight
0x005cd9f0,swig_TGUIObject_GetDesiredSize
0x005cda90,swig_TGUIObject_MouseEntered
0x005cdb30,swig_TGUIObject_MouseExited
0x005cdbd0,swig_TGUIObject_IsCompletelyEnabled
0x005cdc50,swig_TGUIObject_IsEnabled
0x005cdcb0,swig_TGUIObject_SetEnabled
0x005cdd40,swig_TGUIObject_SetDisabled
0x005cddd0,swig_TGUIObject_ToggleEnabled
0x005cde80,swig_TGUIObject_SetEnabledFlag
